"location","source","target"
"gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:1332","Name cannot be empty.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:1355","Please fill compulsory metadata fields(marked with a *)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/node_edit_base.html:1366","Please fill compulsory fields(marked with a *)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/node_search_base.html:7","Please enter a keyword.. ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/note_page.html:28","More",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:78 gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:12 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:12 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:12 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:99","Editing",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:80 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:101","Register ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:242 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:264","Qualification",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:243 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:265 gnowsys_ndf/ndf/templates/ndf/base_templates/refresh_subscribed_users.html:14","Action",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:248 gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:270","Please set qualification text!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:301","Demo requirement text",
"gnowsys_ndf/ndf/templates/ndf/base_templates/nussd_course_create_edit.html:618 gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:281 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:303 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:686 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:1276 gnowsys_ndf/ndf/templates/registration/registration_form.html:29","Register",
"gnowsys_ndf/ndf/templates/ndf/base_templates/online.html:16","<h2>Meeting</h2>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/online.html:32","<span class=""start"">&nbsp;&nbsp;Start</span>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/online.html:46","Last Seen",
"gnowsys_ndf/ndf/templates/ndf/base_templates/online.html:47","Online",
"gnowsys_ndf/ndf/templates/ndf/base_templates/organization_create_edit.html:14 gnowsys_ndf/ndf/templates/ndf/base_templates/person_create_edit.html:14 gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:14","Register a ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/organization_details.html:48","MIS Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/organization_details.html:60","NOT assinged.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/organization_details.html:93","Other Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/organization_details.html:97","Created by : ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/organization_details.html:105","Created on : ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_create_edit.html:6","Page Editor",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_create_edit.html:7","<b>Pages</b> are just like the pages of your notebook. You can write your content here.</p>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_details.html:4","  <p>Pages are user-written articles on a range of subjects. Any contributor or a group of contributors can create (and own) new articles, and there can be multiple articles on the same topic, each written by a different author. </p>
  <h6>Who can make a page?</h6>
  <p> Anyone with an account can create a new article. When creating a new article, the initial contributor can choose to have a defined list of authors, all of whom can edit the page, or have an open, wiki-like format where anyone can contribute.  </p>
",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:11","Pages Introduction",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:12","Working with Pages",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:13","Page types",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:25","  <p>  Pages are user-written articles on a range of subjects. Any contributor or a group of contributors can create (and own) new articles, and there can be multiple articles on the same topic, each written by a different author.  </p>
  <h5>Who can make a page?</h5>
  <p>    Anyone with an account can create a new article. When creating a new article, the initial contributor can choose to have a defined list of authors, all of whom can edit the page, or have an open, wiki-like format where anyone can contribute.  </p>
",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:36","Please Login to create your shelf",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:73 gnowsys_ndf/ndf/templates/ndf/base_templates/term.html:26","Visit",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:75","All Pages",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:134","matched your search criteria!!!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:139","Pages",
"gnowsys_ndf/ndf/templates/ndf/base_templates/page_list.html:185"," This group doesn't have any collections.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/partner_list.html:64","There are no",
"gnowsys_ndf/ndf/templates/ndf/base_templates/partner_list.html:64","created yet.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/partner_showcase.html:4 gnowsys_ndf/ndf/templates/ndf/base_templates/repository.html:48","Partner Showcase",
"gnowsys_ndf/ndf/templates/ndf/base_templates/person_details.html:51","Graph ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/person_details.html:53","Concept Graph ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/person_details.html:54","Collection Graph ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/person_details.html:55","Dependency Graph ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/person_details.html:59","Location ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/person_details.html:61","Discuss ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/program_event_group.html:11","All Events",
"gnowsys_ndf/ndf/templates/ndf/base_templates/program_event_group.html:15","Add Page",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:50 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:47","Questions",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:68","Currently there is no Quiz.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:98","Preview",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:100","Created by: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz.html:108","Currently there is no Question.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_create_edit.html:5","Quiz Editor",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_create_edit.html:7","<p class=""text-justify"">A <b>Quiz</b> is a sequenced collection of <b>quiz items</b>. A quiz-item can be any of the three types: <strong><i>short response, single-choice</i></strong> and <strong><i>multiple-choice</i></strong>. <i>submit response</i> and <i>match the following</i> types will be implemented very soon.</p>
    <p class=""text-justify"">You can build a quiz in two ways:
      <ol  class=""text-justify"">
	<li>By editing, Quiz node (via collection-list).</li>
	<li>By using 'Quiz-Item' button corresponding to the Quiz.</li>
      </ol>    </p>
",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:57","Description :",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:66","Tags :",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:72","No tags have been added yet!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:88","Sr. No ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:89 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:166 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:88 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:163 gnowsys_ndf/ndf/templates/ndf/base_templates/unit_structure.html:320 gnowsys_ndf/ndf/templates/ndf/base_templates/widget_node_form.html:14","Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:90 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:53","Question",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:91","Type",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:92 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:75","Options",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:111","Not Applicable",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_details.html:131","No Questions have been added yet!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:49","Select Question Type",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:65","Enter Question",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:119","Correct Answer",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:156","Show Correct Answer ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:170","Check Answer ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:184","Problem Weight ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:195","Maximum Attempts ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:210","Add properties to the discussion feature ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:216","Release Option ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:232","Interaction start date ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_create_edit.html:244","Interaction close date ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","is a sequenced collection of",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","quiz items",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","A quiz-item can be any of the three types",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","short response, single-choice",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","multiple-choice",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","submit response",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","match the following",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:26","types will be implemented very soon.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:28","You can build a quiz in two ways:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:30","By editing, Quiz node (via collection-list).",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:31","By using 'Quiz-Item' button corresponding to the Quiz.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:38 gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:40","+ Add",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:40","Item",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:55","Edit this Question",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:59","posted on",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:59","by ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:62","Contributors:  ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:65","Last update:  ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/quiz_item_details.html:97","Answer",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:24","5",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:26","4",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:28","3",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:30","2",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:32","1",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:34","0",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:40","Average Rating",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:40","No. of Users rated",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:41","Avg",
"gnowsys_ndf/ndf/templates/ndf/base_templates/rating.html:41"," by ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/refresh_subscribed_users.html:3","List Of Members. ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/refresh_subscribed_users.html:7","For the course:  ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/refresh_subscribed_users.html:13","Users",
"gnowsys_ndf/ndf/templates/ndf/base_templates/refresh_subscribed_users.html:22","Remove",
"gnowsys_ndf/ndf/templates/ndf/base_templates/reply_to_reply.html:84","Reply to Reply:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/replyforum.html:89","Add a Thread",
"gnowsys_ndf/ndf/templates/ndf/base_templates/replyforum.html:92","Add a thread to the Forum",
"gnowsys_ndf/ndf/templates/ndf/base_templates/replyforum.html:95","Thread Name ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/replyforum.html:101","Please enter description",
"gnowsys_ndf/ndf/templates/ndf/base_templates/repository.html:20","Digital resource grouped in multiple ways",
"gnowsys_ndf/ndf/templates/ndf/base_templates/repository.html:51","Contributions from institutions and individuals",
"gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:75","Resource Type",
"gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:154 gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:195","Full screen view",
"gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:274","Event duration",
"gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:275","Fromw",
"gnowsys_ndf/ndf/templates/ndf/base_templates/res_node_ajax_view.html:278","Enrollment duration",
"gnowsys_ndf/ndf/templates/ndf/base_templates/scrolldata.html:36","commented",
"gnowsys_ndf/ndf/templates/ndf/base_templates/scrolldata.html:42"," on ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/scrolldata.html:49","uploaded",
"gnowsys_ndf/ndf/templates/ndf/base_templates/shelf.html:4","Shelf",
"gnowsys_ndf/ndf/templates/ndf/base_templates/shelf.html:58","Add ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/site_about.html:4 gnowsys_ndf/ndf/templates/ndf/base_templates/site_credits.html:4","CLIx - About",
"gnowsys_ndf/ndf/templates/ndf/base_templates/site_contact.html:4","CLIx - Contact",
"gnowsys_ndf/ndf/templates/ndf/base_templates/site_privacypolicy.html:4","CLIx - Privacy Policy",
"gnowsys_ndf/ndf/templates/ndf/base_templates/site_termsofuse.html:4","CLIx - Terms of Use",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:164 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:239"," %(label_val)s   (Max. Size Limit 40kb) ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:177 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:252"," %(label_val)s   (Max. Size Limit 200kb) ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:365","Passing Year",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:376","Passing Certificate",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:392","Degree Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:403","Stream(Main Subject)",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:440","Enroll. (or Roll) No.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:451","Registered for NSS?",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_create_edit.html:467","Date of Registration",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:7 gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:88","Enroll Students in Courses",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:120 gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:96","Announced Course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:136","Enrollment Duration",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:153","NOTE: Display enrolled students also.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:164","Filter Students",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_enroll.html:173 gnowsys_ndf/ndf/templates/ndf/base_templates/student_list.html:152","Please select year",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_list.html:9","Students List View",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_list.html:92","Student List View",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_list.html:210"," - - - Select Filter - - - ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/student_list.html:650"," - - - Select University - - - ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/studentcourseenrollment_create_edit.html:124 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:477","University",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:14","Tasks",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:31","New ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:43","All Task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:44","Completed",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:45","Created by me",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:46","Assigned to me",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:47","pending",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:48","Status Wise",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:65 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:188","In Progress",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:66 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:189","Resolved",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:68 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:191","Closed",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:69 gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:192","Rejected",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task.html:332","Search Results: <span class=""label alert"">No %(title|lower)s%(TASK_inst.count|pluralize)s matched your search criteria ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:104","Task Editor",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:114","Assignees",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:121","- - - Select Assignee - - -",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:151","Task Type ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:153","- - - Select Task Type - - -",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:155","%(alt)s",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:158","Please select Task Type.",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:167 gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:281","Enter name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:168","Please give your Task a descriptive name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:176","Parent",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:176 gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:49","Task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:185","Status",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:199","Start date",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:207","Priority",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:209","Low",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:210","Normal",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:211","High",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:212","Urgent",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:213","Immediate",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:218","Due date",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:227","Estimated time",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:228","Enter Hours",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:229","Please give Time in",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:236","Single Assignee",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:237","Multiple Assignee",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:238","Group Assignees",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:244","select Asssignees",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:254","Assignees Assigned for task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:277","Describe",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:358","Assignees not selected",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:420","Click to remove",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_create_edit.html:644","No Assignees Assigned",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:38","New Task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:72","Parent task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:86","Task type:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:97","Status:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:111","Start Date:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:122","Priority:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:136","Due Date:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:147","Assignee:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:161","Sub Task:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:185","sEdit",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:258","Edited",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:261","Versions",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:279","Editing Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:298","&#215;",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_details.html:315","Nothing is Changed",
"gnowsys_ndf/ndf/templates/ndf/base_templates/task_list_view.html:38","Group Task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/templates_list.html:25","Select Template",
"gnowsys_ndf/ndf/templates/ndf/base_templates/term.html:59","Show Topics",
"gnowsys_ndf/ndf/templates/ndf/base_templates/term_create_edit.html:6","Topic Editor",
"gnowsys_ndf/ndf/templates/ndf/base_templates/terms_list.html:21"," This group doesn't have any Terms. <b>Be the first to create a Term!</b>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:43","Create a new ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/theme_create_edit.html:261 gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:210 gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:122","Tag",
"gnowsys_ndf/ndf/templates/ndf/base_templates/thread_details.html:61","Other Threads",
"gnowsys_ndf/ndf/templates/ndf/base_templates/thread_details.html:95","Edit now",
"gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:43","Create a New ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:50","View:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:174","Public ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:226","Add or edit Collection: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:233","Classify by:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/topic_create_edit.html:287","Add or edit Teaches: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:440","Course Enrollment Details",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:459 gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:524 gnowsys_ndf/ndf/templates/ndf/base_templates/unit_player.html:22","Course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:464","- - - Select Course - - -",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:467","Please select course",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:485","Please select university",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:504","- - - Select College - - -",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:507","Please select college",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:562","Course Requirements",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:674","Course Qualification Specifications",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:679","' + courseSelected + '",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:685","Mandatory",
"gnowsys_ndf/ndf/templates/ndf/base_templates/trainer_create_edit.html:686","Qualifications",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translate_detail.html:24","Other Translations:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translate_detail.html:32","Original Resource:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_list.html:15","Translations:",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_list.html:17","Translation Languages",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:67 gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:100","Page Name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:81","Tags: ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:154 gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:160 gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:165","Please give your page a descriptive name",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:154 gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:160 gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:165","It's helpful for others and for yourself",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:157","Theme Item",
"gnowsys_ndf/ndf/templates/ndf/base_templates/translation_page.html:162","Topic",
"gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:92","Welcome ",
"gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:146","No Groups </b>",
"gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:213","Show More..",
"gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:263","No Assinged Task",
"gnowsys_ndf/ndf/templates/ndf/base_templates/uDashboard.html:313","image is already selected, choose different image !!!",
"gnowsys_ndf/ndf/templates/ndf/base_templates/unit_player.html:37","Previous Activity",
"gnowsys_ndf/ndf/templates/ndf/base_templates/unit_player.html:58"," Edit Settings",
"gnowsys_ndf/ndf/templates/ndf/base_templates/unit_player.html:85","Next Activity",
